ticker,name,asset_class,market_cap_focus,strategy,industry_focus,geographical_focus,maturity_band,rating_class_focus,total_assets,expense_ratio,std_dev_1yr,actively_managed
JEPI,JPMORGAN EQUITY PREMIUM INCO,Equity,Broad Market,Value,N.A.,United States,N.A.,N.A.,26639.4,0.35,14.47,Y
DGRO,ISHARES CORE DIVIDEND GROWTH,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,23432.83,0.08,19.86,N
COWZ,PACER US CASH COWS 100 ETF,Equity,Broad Market,Value,N.A.,United States,N.A.,N.A.,13012.707,0.49,27.29,N
NOBL,PROSHARES S&P 500 DIVIDEND A,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,11348.859,0.35,21.14,N
MOAT,VANECK MORNINGSTAR WIDE MOAT,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,10923.277,0.46,25.45,N
MTUM,ISHARES MSCI USA MOMENTUM FA,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,9143.5,0.15,19.16,N
ARKK,ARK INNOVATION ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,8146.339,0.75,43.79,Y
AVUV,AVANTIS US SMALL CAP VALUE,Equity,Small-cap,Value,N.A.,United States,N.A.,N.A.,5898.964,0.25,31.01,Y
BND,VANGUARD TOTAL BOND MARKET,Fixed Income,N.A.,Aggregate,N.A.,United States,N.A.,Investment Grade BBB or higher,92981.016,0.03,9.1,N
AGG,ISHARES CORE U.S. AGGREGATE,Fixed Income,N.A.,Aggregate,N.A.,United States,N.A.,Investment Grade BBB or higher,90798.805,0.03,9.27,N
BNDX,VANGUARD TOTAL INTL BOND ETF,Fixed Income,N.A.,Aggregate,N.A.,International,N.A.,Investment Grade BBB or higher,49376.227,0.07,8.28,N
VCIT,VANGUARD INT-TERM CORPORATE,Fixed Income,N.A.,Corporate,N.A.,United States,Intermediate,Investment Grade BBB or higher,39295.602,0.04,11.64,N
TLT,ISHARES 20+ YEAR TREASURY BO,Fixed Income,N.A.,Government,N.A.,United States,Long-Term,Investment Grade A or higher,38808.281,0.15,18.05,N
BSV,VANGUARD SHORT-TERM BOND ETF,Fixed Income,N.A.,Aggregate,N.A.,United States,Short-Term,Investment Grade BBB or higher,36718.41,0.04,4.18,N
LQD,ISHARES IBOXX INVESTMENT GRA,Fixed Income,N.A.,Corporate,N.A.,United States,N.A.,Investment Grade BBB or higher,35151.824,0.14,14.68,N
VCSH,VANGUARD S/T CORP BOND ETF,Fixed Income,N.A.,Corporate,N.A.,United States,Short-Term,Investment Grade BBB or higher,34855.902,0.04,5.11,N
MUB,ISHARES NATIONAL MUNI BOND E,Fixed Income,N.A.,Municipals,N.A.,United States,N.A.,Investment Grade BBB or higher,32288.637,0.07,8.27,N
IEF,ISHARES 7-10 YEAR TREASURY B,Fixed Income,N.A.,Government,N.A.,United States,Long-Term,Investment Grade A or higher,28999.99,0.15,10.64,N
BIL,SPDR BLOOMBERG 1-3 MONTH T-B,Fixed Income,N.A.,Government,N.A.,United States,Ultra Short,Investment Grade A or higher,28851.029,0.135,0.43,N
SHY,ISHARES 1-3 YEAR TREASURY BO,Fixed Income,N.A.,Government,N.A.,United States,Short-Term,Investment Grade A or higher,27868.43,0.15,2.82,N
VTEB,VANGUARD TAX-EXEMPT BOND ETF,Fixed Income,N.A.,Municipals,N.A.,United States,Intermediate,Investment Grade BBB or higher,27251.98,0.05,8.76,N
